order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
44,7413,2026-02-26,29,3,386.14,1158.42,Completed,2026-03-01
45,6165,2024-08-13,40,2,767.38,1534.76,Pending,
46,5108,2026-06-27,414,4,163.13,652.52,Cancelled,
47,7904,2023-05-26,81,5,51.27,256.35,Completed,2023-05-26
48,3463,2025-03-04,1526,4,227.77,911.08,Cancelled,
49,9311,2025-12-09,400,2,24.68,49.36,Completed,2025-12-13
50,653,2023-03-11,37,1,514.80,514.80,Completed,2023-03-14
51,7939,2025-04-23,15,5,437.07,2185.35,Completed,2025-04-30
52,9684,2024-04-24,30,5,677.83,3389.15,Completed,2024-05-01
53,3542,2023-10-21,498,1,353.98,353.98,Completed,2023-10-28
54,5654,2023-04-07,313,2,351.12,702.24,Completed,2023-04-08
55,707,2025-06-25,9,4,547.38,2189.52,Cancelled,
56,7712,2023-04-23,150,1,489.85,489.85,Completed,2023-04-24
57,8416,2025-03-26,111,2,665.00,1330.00,Completed,2025-04-01
58,1169,2024-11-24,279,1,725.92,725.92,Pending,
59,3993,2023-02-12,416,4,527.83,2111.32,Completed,2023-02-13
60,102,2023-08-28,471,2,479.83,959.66,Completed,2023-08-30
61,6485,2023-03-27,287,2,286.30,572.60,Cancelled,
62,5221,2023-06-06,50,1,536.72,536.72,Cancelled,
63,8947,2024-07-04,466,1,758.72,758.72,Completed,2024-07-05
64,86,2025-11-27,401,4,762.08,3048.32,Completed,2025-12-04
65,1062,2023-06-17,21,1,443.42,443.42,Completed,2023-06-23
66,3759,2025-01-13,429,2,670.38,1340.76,Completed,2025-01-14
67,9297,2026-04-23,196,3,86.41,259.23,Cancelled,
68,5397,2023-08-11,260,4,130.52,522.08,Completed,2023-08-12
69,7942,2024-09-09,11,2,79.72,159.44,Completed,2024-09-15
70,5180,2023-11-17,168,1,328.60,328.60,Completed,2023-11-18
71,8492,2024-06-23,340,2,94.15,188.30,Completed,2024-06-23
72,5429,2024-11-04,357,4,552.90,2211.60,Completed,2024-11-04
73,2796,2023-10-11,151,2,207.66,415.32,Completed,2023-10-17
74,3527,2025-08-06,126,3,130.19,390.57,Pending,
75,5249,2024-02-02,148,5,460.78,2303.90,Cancelled,
76,2518,2024-02-27,2,2,170.40,340.80,Pending,
77,2135,2025-07-09,8,2,564.95,1129.90,Completed,2025-07-15
78,7574,2025-11-11,144,3,504.25,1512.75,Completed,2025-11-18
79,9088,2023-03-31,6,4,465.80,1863.20,Completed,2023-04-04
80,7085,2025-05-04,118,1,214.85,214.85,Cancelled,
81,6413,2026-03-08,444,4,66.10,264.40,Completed,2026-03-14
82,519,2025-06-08,324,2,186.18,372.36,Completed,2025-06-12
83,9994,2024-06-10,307,1,42.86,42.86,Completed,2024-06-17
84,2016,2024-06-10,213,3,452.76,1358.28,Completed,2024-06-15
85,8227,2024-12-05,435,3,145.33,435.99,Cancelled,
86,7665,2026-07-20,237,1,217.02,217.02,Completed,2026-07-27
87,1823,2026-04-06,177,2,23.82,47.64,Completed,2026-04-09
88,2860,2023-12-22,267,4,695.34,2781.36,Completed,2023-12-29
89,6187,2026-07-17,219,3,224.24,672.72,Completed,2026-07-21
90,2099,2024-08-16,256,3,772.55,2317.65,Completed,2024-08-22
91,5003,2023-03-03,176,3,659.41,1978.23,Completed,2023-03-03
92,2545,2025-05-01,330,1,112.27,112.27,Completed,2025-05-06
93,9232,2026-02-06,151,3,204.90,614.70,Completed,2026-02-08
94,3524,2024-05-16,70,2,589.84,1179.68,Cancelled,
95,3578,2023-09-29,179,4,105.37,421.48,Completed,2023-10-05
96,5978,2026-07-23,395,4,180.37,721.48,Completed,2026-07-25
97,87,2023-01-02,499,2,55.93,111.86,Completed,2023-01-03
98,3307,2026-06-06,120,4,177.79,711.16,Pending,
99,1278,2023-01-17,461,3,105.84,317.52,Completed,2023-01-18
100,5091,2025-12-18,449,1,669.08,669.08,Pending,
101,1769,2024-12-25,326,4,513.30,2053.20,Completed,2024-12-28
102,9987,2026-01-21,140,2,236.66,473.32,Pending,
103,7581,2023-05-12,449,4,703.21,2812.84,Completed,2023-05-18
104,3310,2023-02-16,460,5,727.62,3638.10,Completed,2023-02-21
105,7196,2023-09-05,420,5,62.34,311.70,Completed,2023-09-10
106,1055,2023-03-04,20,5,541.17,2705.85,Pending,
107,9475,2023-10-12,438,3,469.19,1407.57,Pending,
108,7528,2025-02-07,250,2,526.96,1053.92,Pending,
109,5504,2025-04-25,204,5,563.60,2818.00,Completed,2025-04-28
110,9071,2023-12-04,5,5,158.19,790.95,Completed,2023-12-10
111,7296,2024-09-25,214,2,512.78,1025.56,Pending,
112,4039,2026-05-07,41,1,687.98,687.98,Completed,2026-05-14
113,1285,2024-01-16,142,1,322.01,322.01,Cancelled,
114,7076,2025-02-09,370,3,546.71,1640.13,Completed,2025-02-13
115,,2024-02-18,455,1,573.14,573.14,Completed,2024-02-19
116,6768,2026-01-11,255,3,480.94,1442.82,Completed,2026-01-16
117,5090,2025-08-29,447,1,333.95,333.95,Completed,2025-09-02
118,4033,2023-10-01,286,5,629.52,3147.60,Completed,2023-10-08
119,2654,2026-02-28,334,3,590.71,1772.13,Completed,2026-03-02
120,3067,2023-02-24,474,3,498.18,1494.54,Completed,2023-02-28
121,2481,2026-04-26,63,1,551.13,551.13,Completed,2026-05-02
122,1941,2024-07-26,57,4,443.91,1775.64,Completed,2024-07-31
123,3421,2026-06-23,290,1,189.59,189.59,Completed,2026-06-29
124,6297,2023-12-28,478,2,823.29,1646.58,Completed,2023-12-31
125,3882,2023-01-18,291,3,260.59,781.77,Cancelled,
126,533,2024-02-05,382,2,567.00,1134.00,Completed,2024-02-10
127,3004,2025-09-25,444,3,61.38,184.14,Completed,2025-09-28
128,1729,2025-09-29,90,3,324.87,974.61,Completed,2025-09-29
129,2016,2025-06-30,114,1,739.20,739.20,Pending,
130,5752,2026-02-15,63,4,580.65,2322.60,Completed,2026-02-18
131,6739,2023-09-12,73,3,139.48,418.44,Completed,2023-09-17
132,1418,2026-02-06,174,4,339.48,1357.92,Completed,2026-02-13
133,8973,2024-10-24,244,1,533.86,533.86,Pending,
134,9971,2026-04-12,111,3,740.66,2221.98,Completed,2026-04-13
135,925,2023-12-23,468,3,66.79,200.37,Completed,2023-12-28
136,7098,2024-07-28,82,4,656.85,2627.40,Completed,2024-07-31
137,3312,2023-01-01,439,1,647.84,647.84,Completed,2023-01-03
138,9002,2026-02-17,216,5,244.02,1220.10,Completed,2026-02-21
139,2510,2024-03-31,342,4,693.27,2773.08,Pending,
140,6505,2026-04-23,337,4,77.41,309.64,Pending,
141,7203,2026-06-15,441,3,546.97,1640.91,Completed,2026-06-16
142,2105,2025-03-21,376,5,57.89,289.45,Completed,2025-03-26
143,9264,2026-03-17,441,3,579.53,1738.59,Completed,2026-03-20
144,3367,2026-07-29,51,1,657.29,657.29,Completed,2026-08-03
145,5115,2023-09-14,494,1,641.05,641.05,Completed,2023-09-15
146,8486,2023-01-21,22,4,134.00,536.00,Completed,2023-01-24
147,6699,2023-09-08,128,2,523.54,1047.08,Completed,2023-09-13
148,2814,2024-12-26,75,5,300.72,1503.60,Completed,2025-01-01
149,1529,2024-05-07,103,1,79.74,79.74,Completed,2024-05-14
150,1287,2024-07-08,332,3,199.29,597.87,Completed,2024-07-12
151,3258,2024-11-21,16,1,500.37,500.37,Completed,2024-11-28
152,8007,2025-05-10,241,3,113.53,340.59,Completed,2025-05-15
153,1643,2023-12-25,257,2,410.16,820.32,Completed,2023-12-30
154,3633,2024-11-11,440,2,351.47,702.94,Completed,2024-11-18
155,5787,2023-04-25,238,5,250.92,1254.60,Completed,2023-05-02
156,957,2025-02-20,96,3,482.29,1446.87,Completed,2025-02-26
157,6992,2023-02-09,23,4,173.33,693.32,Completed,2023-02-14
158,2425,2026-06-16,219,1,258.64,258.64,Completed,2026-06-22
159,6103,2024-06-05,178,2,466.73,933.46,Completed,2024-06-12
160,4443,2024-01-05,444,1,64.66,64.66,Completed,2024-01-09
161,230,2024-08-03,346,3,86.52,259.56,Completed,2024-08-06
162,5216,2023-05-18,299,4,235.77,943.08,Pending,
163,9047,2023-08-05,338,2,367.50,735.00,Completed,2023-08-11
164,3551,2026-04-06,272,5,308.91,1544.55,Completed,2026-04-08
165,7812,2024-03-27,42,5,585.82,2929.10,Completed,2024-03-28
166,8754,2023-01-06,245,5,53.94,269.70,Completed,2023-01-07
167,8598,2025-05-12,490,1,25.85,25.85,Completed,2025-05-12
168,1681,2025-06-19,262,1,281.60,281.60,Completed,2025-06-24
169,2051,2023-06-27,65,4,329.71,1318.84,Completed,2023-07-02
170,2109,2023-08-08,352,5,348.83,1744.15,Completed,2023-08-14
171,7152,2023-06-09,173,1,681.01,681.01,Completed,2023-06-12
172,1368,2024-08-16,434,5,143.44,717.20,Completed,2024-08-19
173,1896,2025-09-28,123,3,233.39,700.17,Cancelled,
174,6992,2026-06-17,410,2,490.88,981.76,Completed,2026-06-20
175,8059,2023-09-19,217,3,383.83,1151.49,Completed,2023-09-24
176,7165,2025-02-24,386,4,744.18,2976.72,Completed,2025-02-27
177,9768,2024-11-06,57,4,417.82,1671.28,Pending,
178,4127,2024-02-04,274,2,530.95,1061.90,Completed,2024-02-08
179,1991,2025-04-03,120,3,155.41,466.23,Completed,2025-04-03
180,7757,2025-10-31,160,5,338.55,1692.75,Completed,2025-11-07
181,5338,2024-10-07,229,3,370.28,1110.84,Completed,2024-10-11
182,4145,2025-09-27,276,2,324.62,649.24,Completed,2025-09-30
183,9138,2024-11-06,338,2,375.96,751.92,Completed,2024-11-11
184,8358,2023-03-23,279,4,816.97,3267.88,Completed,2023-03-28
185,952,2025-02-15,112,1,491.37,491.37,Completed,2025-02-20
186,883,2026-02-26,280,4,109.75,439.00,Completed,2026-03-04
187,3591,2025-10-04,280,4,120.93,483.72,Completed,2025-10-05
188,3744,2025-11-28,158,1,304.00,304.00,Completed,2025-12-01
189,4320,2025-07-28,443,1,29.84,29.84,Completed,2025-07-30
190,7300,2023-03-29,216,4,229.38,917.52,Completed,2023-04-04
191,8173,2024-04-22,324,1,183.30,183.30,Completed,2024-04-25
192,6159,2023-07-14,226,4,38.74,154.96,Completed,2023-07-14
193,9154,2023-08-18,129,2,761.54,1523.08,Cancelled,
194,8516,2024-07-17,96,1,581.48,581.48,Completed,2024-07-17
195,4023,2023-08-21,172,5,383.81,1919.05,Completed,2023-08-28
196,3246,2024-03-08,352,2,363.23,726.46,Cancelled,
197,1307,2025-06-11,341,1,466.40,466.40,Completed,2025-06-16
198,1581,2025-11-06,432,5,751.61,3758.05,Completed,2025-11-13
199,7652,2025-10-22,270,5,478.28,2391.40,Completed,2025-10-29
200,5825,2026-05-11,239,5,726.35,3631.75,Pending,
201,1419,2026-06-07,235,5,624.07,3120.35,Completed,2026-06-07
202,6154,2026-03-15,302,2,705.51,1411.02,Completed,2026-03-20
203,1580,2024-02-23,11,5,80.47,402.35,Cancelled,
204,2178,2025-03-14,391,4,326.32,1305.28,Cancelled,
205,8524,2026-05-26,439,4,663.28,2653.12,Completed,2026-05-30
206,2394,2024-11-08,10,1,157.81,157.81,Cancelled,
207,991,2023-10-14,329,2,277.77,555.54,Completed,2023-10-18
208,1537,2025-06-26,50,3,614.43,1843.29,Pending,
209,6669,2024-11-21,192,1,810.30,810.30,Completed,2024-11-23
210,9222,2024-05-24,145,5,73.27,366.35,Completed,2024-05-30
211,1158,2026-07-19,16,5,479.80,2399.00,Cancelled,
212,9294,2024-10-11,85,5,308.26,1541.30,Completed,2024-10-14
213,8545,2023-10-21,490,4,26.27,105.08,Completed,2023-10-28
214,6737,2024-02-06,252,4,494.19,1976.76,Cancelled,
215,5494,2024-07-28,154,3,348.41,1045.23,Pending,
216,3714,2025-11-14,436,1,343.52,343.52,Completed,2025-11-17
217,,2025-01-12,286,5,709.19,3545.95,Completed,2025-01-15
218,1088,2026-03-27,92,1,682.44,682.44,Completed,2026-03-27
219,5109,2025-07-12,25,1,331.54,331.54,Completed,2025-07-12
220,3522,2025-10-02,208,3,24.67,74.01,Completed,2025-10-05
221,3568,2024-09-29,40,2,707.49,1414.98,Completed,2024-09-30
222,4790,2025-09-14,453,4,263.67,1054.68,Completed,2025-09-20
223,2662,2025-08-18,433,1,193.20,193.20,Completed,2025-08-22
224,2312,2023-08-01,493,5,538.64,2693.20,Pending,
225,8111,2023-10-01,70,4,665.80,2663.20,Completed,2023-10-02
226,5582,2023-02-10,458,1,720.64,720.64,Completed,2023-02-17
227,9297,2023-05-04,216,2,215.15,430.30,Completed,2023-05-08
228,9614,2026-07-20,200,1,14.68,14.68,Completed,2026-07-25
229,1509,2024-07-19,313,4,343.85,1375.40,Completed,2024-07-24
230,7934,2025-06-06,27,4,291.81,1167.24,Completed,2025-06-12
231,2670,2025-07-07,428,2,443.98,887.96,Completed,2025-07-14
232,1582,2026-04-24,347,4,98.70,394.80,Pending,
233,9351,2026-05-24,496,2,433.42,866.84,Completed,2026-05-25
234,8072,2025-09-29,195,4,404.45,1617.80,Completed,2025-09-29
235,24,2025-05-18,66,2,52.09,104.18,Completed,2025-05-20
236,4533,2024-08-17,157,3,436.26,1308.78,Completed,2024-08-20
237,2,2025-10-22,359,1,177.55,177.55,Completed,2025-10-22
238,6883,2026-03-01,401,3,689.46,2068.38,Cancelled,
239,5039,2026-01-11,378,5,382.53,1912.65,Completed,2026-01-17
240,8894,2024-07-10,331,3,414.30,1242.90,Completed,2024-07-13
241,2924,2025-02-13,4,2,471.75,943.50,Completed,2025-02-19
242,8212,2025-01-21,242,1,126.80,126.80,Completed,2025-01-26
243,8047,2025-09-18,273,3,28.15,84.45,Completed,2025-09-24
244,5314,2025-05-07,110,1,241.56,241.56,Completed,2025-05-11
245,3361,2023-12-21,10,5,153.68,768.40,Completed,2023-12-26
246,7545,2025-05-13,190,1,554.28,554.28,Completed,2025-05-19
247,5013,2023-01-07,386,2,754.28,1508.56,Completed,2023-01-11
248,5165,2026-03-13,190,4,551.05,2204.20,Completed,2026-03-15
249,6946,2025-10-03,217,2,391.21,782.42,Completed,2025-10-10
250,7021,2025-10-25,2,2,208.88,417.76,Completed,2025-10-25
251,7886,2024-10-09,493,1,524.43,524.43,Completed,2024-10-15
252,4471,2026-05-19,58,4,10.52,42.08,Completed,2026-05-25
253,7838,2024-04-03,309,2,419.41,838.82,Completed,2024-04-06
254,4027,2025-05-29,259,2,377.10,754.20,Completed,2025-06-01
255,9040,2023-11-03,369,4,91.00,364.00,Completed,2023-11-08
256,8401,2025-06-07,63,4,577.13,2308.52,Completed,2025-06-08
257,6208,2023-03-18,179,2,112.72,225.44,Completed,2023-03-25
258,9883,2025-10-01,427,5,315.95,1579.75,Completed,2025-10-04
259,5897,2025-02-10,69,1,196.66,196.66,Completed,2025-02-14
260,9779,2024-08-15,207,1,450.41,450.41,Cancelled,
261,2892,2025-03-19,305,5,778.81,3894.05,Pending,
262,7598,2024-01-15,79,2,224.42,448.84,Completed,2024-01-16
263,927,2025-06-28,231,4,89.77,359.08,Completed,2025-07-04
264,7261,2025-12-27,344,2,516.06,1032.12,Completed,2025-12-28
265,9975,2025-05-31,24,3,183.43,550.29,Completed,2025-06-03
266,3559,2023-03-29,17,3,611.75,1835.25,Completed,2023-04-04
267,2586,2024-04-27,499,3,48.23,144.69,Pending,
268,3959,2025-10-17,78,3,556.03,1668.09,Completed,2025-10-20
269,6383,2026-05-25,180,1,202.42,202.42,Completed,2026-05-26
270,8791,2023-10-17,422,4,690.96,2763.84,Pending,
271,9508,2025-08-25,155,1,342.14,342.14,Cancelled,
272,2990,2026-02-01,136,4,498.02,1992.08,Completed,2026-02-06
273,7796,2025-12-07,392,2,703.18,1406.36,Completed,2025-12-12
274,566,2024-09-04,6,4,396.12,1584.48,Cancelled,
275,3713,2023-01-17,261,3,740.45,2221.35,Completed,2023-01-17
276,9486,2026-03-10,319,5,474.65,2373.25,Completed,2026-03-12
277,4387,2023-05-13,331,3,421.90,1265.70,Cancelled,
278,4380,2024-04-02,316,1,221.47,221.47,Completed,2024-04-07
279,9951,2024-10-20,250,3,543.16,1629.48,Completed,2024-10-23
280,6254,2023-05-06,431,3,495.05,1485.15,Completed,2023-05-13
281,8184,2023-10-19,370,5,605.46,3027.30,Completed,2023-10-21
282,2633,2023-06-23,73,4,125.08,500.32,Cancelled,
283,5305,2023-10-30,479,2,559.61,1119.22,Pending,
284,8140,2023-05-03,6,2,425.03,850.06,Completed,2023-05-10
285,6873,2025-06-13,413,5,369.95,1849.75,Completed,2025-06-16
286,8807,2025-01-03,355,1,330.98,330.98,Pending,
287,3938,2023-01-21,446,5,431.60,2158.00,Completed,2023-01-22
288,7125,2023-03-18,265,1,30.10,30.10,Cancelled,
289,8159,2026-06-19,176,1,579.57,579.57,Completed,2026-06-20
290,5702,2026-03-10,188,5,108.18,540.90,Completed,2026-03-13
291,9592,2024-06-08,458,2,715.33,1430.66,Completed,2024-06-13
292,5832,2023-09-18,484,4,212.57,850.28,Completed,2023-09-19
293,4976,2023-06-21,381,5,715.14,3575.70,Completed,2023-06-24
294,9369,2025-04-03,295,3,686.80,2060.40,Cancelled,
295,9241,2026-02-03,308,2,258.57,517.14,Pending,
296,1297,2023-03-27,163,4,185.06,740.24,Completed,2023-04-03
297,218,2023-01-27,179,4,109.44,437.76,Completed,2023-02-02
298,3419,2023-10-15,211,1,437.98,437.98,Pending,
299,8502,2025-10-26,437,4,328.68,1314.72,Completed,2025-10-27
300,1047,2026-03-29,233,2,131.44,262.88,Completed,2026-04-01
301,8690,2025-06-21,75,1,277.21,277.21,Completed,2025-06-27
302,2212,2024-01-19,259,5,395.09,1975.45,Completed,2024-01-23
303,925,2024-10-18,185,2,158.50,317.00,Completed,2024-10-24
304,856,2023-11-03,287,2,279.04,558.08,Completed,2023-11-09
305,875,2026-03-07,135,5,531.47,2657.35,Cancelled,
306,6899,2026-01-27,167,3,326.36,979.08,Completed,2026-01-31
307,4463,2025-05-26,493,1,589.32,589.32,Completed,2025-05-31
308,5044,2025-10-20,236,1,605.78,605.78,Completed,2025-10-20
309,6108,2023-03-17,130,5,146.97,734.85,Completed,2023-03-22
310,6540,2023-04-07,195,2,425.76,851.52,Completed,2023-04-12
311,6431,2026-07-06,4,5,464.83,2324.15,Completed,2026-07-12
312,1771,2024-03-28,185,1,187.25,187.25,Completed,2024-04-02
313,863,2025-06-05,214,4,505.88,2023.52,Completed,2025-06-05
314,5900,2025-01-08,15,3,451.70,1355.10,Completed,2025-01-13
315,7501,2024-03-11,220,3,242.28,726.84,Completed,2024-03-18
316,9387,2024-09-23,359,2,192.02,384.04,Cancelled,
317,7988,2026-04-30,137,2,420.05,840.10,Completed,2026-04-30
318,3125,2026-03-06,167,2,290.76,581.52,Completed,2026-03-12
319,300,2024-07-11,304,1,682.54,682.54,Completed,2024-07-18
320,1168,2024-04-11,466,3,675.51,2026.53,Completed,2024-04-13
321,1322,2023-09-25,52,1,707.44,707.44,Completed,2023-10-01
322,6825,2026-07-19,391,2,297.41,594.82,Completed,2026-07-20
323,3592,2026-01-05,486,2,66.34,132.68,Cancelled,
324,3988,2025-10-02,51,3,700.15,2100.45,Completed,2025-10-02
325,3397,2024-01-06,159,4,641.68,2566.72,Completed,2024-01-13
326,4330,2025-04-06,325,2,549.60,1099.20,Completed,2025-04-12
327,6782,2024-11-14,390,5,655.90,3279.50,Completed,2024-11-14
328,515,2024-12-17,26,3,723.79,2171.37,Completed,2024-12-20
329,8921,2023-04-19,60,3,57.88,173.64,Completed,2023-04-20
330,5145,2024-11-13,139,2,241.06,482.12,Cancelled,
331,7440,2025-09-11,277,1,385.94,385.94,Pending,
332,7440,2023-08-07,318,3,665.52,1996.56,Completed,2023-08-11
333,8692,2026-07-23,267,1,636.85,636.85,Completed,2026-07-24
334,4833,2026-05-01,139,4,227.46,909.84,Completed,2026-05-06
335,4138,2025-04-12,57,4,410.61,1642.44,Pending,
336,5955,2026-01-03,213,2,460.71,921.42,Completed,2026-01-08
337,4760,2026-07-22,439,3,680.59,2041.77,Completed,2026-07-28
338,3602,2026-06-25,255,4,453.48,1813.92,Completed,2026-06-30
339,9823,2023-09-29,24,2,183.82,367.64,Completed,2023-10-02
340,9193,2024-07-05,53,4,658.87,2635.48,Completed,2024-07-09
341,1765,2023-11-25,270,4,436.57,1746.28,Completed,2023-11-28
342,6618,2025-02-05,112,3,512.46,1537.38,Pending,
343,3386,2024-02-13,103,1,76.94,76.94,Pending,
344,1266,2023-08-12,347,2,103.72,207.44,Pending,
345,7280,2025-08-30,460,1,683.54,683.54,Completed,2025-09-02
346,4868,2024-01-28,158,4,359.95,1439.80,Completed,2024-02-04
347,2799,2023-08-14,384,2,288.29,576.58,Completed,2023-08-21
348,6231,2026-02-15,39,5,347.05,1735.25,Completed,2026-02-17
349,2788,2025-12-06,178,5,510.40,2552.00,Completed,2025-12-10
350,3229,2025-10-11,62,2,452.39,904.78,Completed,2025-10-15
351,248,2025-07-13,271,4,198.08,792.32,Completed,2025-07-16
352,9996,2025-09-24,245,2,59.43,118.86,Completed,2025-09-29
353,6674,2023-04-24,175,4,508.31,2033.24,Completed,2023-04-30
354,2044,2024-11-04,260,2,149.00,298.00,Completed,2024-11-05
355,1415,2024-10-03,260,1,144.72,144.72,Completed,2024-10-04
356,9586,2023-09-22,460,2,702.98,1405.96,Completed,2023-09-28
357,3882,2025-05-22,160,5,326.60,1633.00,Pending,
358,1428,2025-02-18,344,4,447.97,1791.88,Completed,2025-02-22
359,9943,2024-05-17,466,1,693.32,693.32,Completed,2024-05-24
360,5727,2025-02-19,432,2,619.33,1238.66,Completed,2025-02-20
361,4524,2023-06-06,223,1,443.92,443.92,Cancelled,
362,5746,2025-11-26,452,4,377.60,1510.40,Completed,2025-11-30
363,119,2026-07-12,371,5,316.15,1580.75,Completed,2026-07-19
364,8304,2026-03-21,36,1,671.20,671.20,Completed,2026-03-26
365,7896,2024-12-07,329,1,259.82,259.82,Completed,2024-12-08
366,5106,2025-01-05,299,3,238.44,715.32,Completed,2025-01-10
367,8720,2025-02-24,397,2,177.13,354.26,Completed,2025-02-24
368,7652,2025-11-25,90,5,342.26,1711.30,Completed,2025-11-25
369,8768,2023-05-21,132,2,567.00,1134.00,Completed,2023-05-27
370,8862,2023-12-14,160,5,318.53,1592.65,Completed,2023-12-17
371,381,2023-02-05,422,5,670.23,3351.15,Completed,2023-02-09
372,6311,2023-01-15,142,3,327.30,981.90,Completed,2023-01-21
373,43,2026-06-03,134,3,496.72,1490.16,Completed,2026-06-03
374,8383,2023-02-28,43,5,119.66,598.30,Completed,2023-03-02
375,8077,2025-07-24,327,4,225.00,900.00,Cancelled,
376,3004,2025-05-23,86,2,202.03,404.06,Completed,2025-05-28
377,971,2023-04-02,135,2,507.49,1014.98,Completed,2023-04-07
378,9587,2024-11-01,25,3,305.41,916.23,Completed,2024-11-03
379,2692,2024-12-05,215,3,71.24,213.72,Completed,2024-12-08
380,9230,2023-07-17,240,2,504.18,1008.36,Completed,2023-07-20
381,5681,2025-05-11,415,5,10.75,53.75,Completed,2025-05-11
382,6224,2026-06-28,422,1,685.54,685.54,Completed,2026-07-05
383,2562,2023-07-03,240,3,515.59,1546.77,Completed,2023-07-07
384,3971,2026-05-30,59,4,169.84,679.36,Completed,2026-05-31
385,3279,2023-11-17,223,3,447.79,1343.37,Completed,2023-11-22
386,4728,2023-09-18,454,2,580.72,1161.44,Pending,
387,8848,2025-12-02,386,5,749.19,3745.95,Completed,2025-12-06
388,3337,2026-01-06,185,4,178.09,712.36,Completed,2026-01-11
389,9391,2023-12-09,154,3,383.74,1151.22,Completed,2023-12-11
390,5342,2023-12-27,33,4,114.59,458.36,Completed,2023-12-31
391,7295,2023-11-29,235,3,569.60,1708.80,Completed,2023-12-04
392,7138,2025-05-17,104,5,35.55,177.75,Completed,2025-05-22
393,7440,2023-12-10,30,2,622.49,1244.98,Pending,
394,2091,2025-11-22,322,1,655.36,655.36,Completed,2025-11-29
395,5840,2024-06-20,403,2,59.01,118.02,Completed,2024-06-22
396,1208,2024-11-18,155,3,366.93,1100.79,Completed,2024-11-22
397,5433,2026-07-11,387,4,52.98,211.92,Completed,2026-07-14
398,6963,2023-09-18,454,5,648.07,3240.35,Completed,2023-09-23
399,2469,2024-01-29,191,3,688.67,2066.01,Completed,2024-02-03
400,4078,2023-05-10,478,3,696.71,2090.13,Pending,
401,8032,2023-02-13,101,3,580.07,1740.21,Completed,2023-02-19
402,8726,2023-11-07,371,5,356.35,1781.75,Completed,2023-11-11
403,7705,2023-08-04,53,3,702.71,2108.13,Completed,2023-08-04
404,8939,2023-02-11,24,1,160.48,160.48,Completed,2023-02-13
